ID,stage,wy,eligible,valid_days,mean_in,mean_out,shape,inflow_volume_available_mcm
938,filtered,1982,False,318,1.581569182389937,1.3951320754716978,0.24802253496106352,43.453929599999995
938,filtered,1983,False,322,1.677506211180124,1.573223602484472,0.20008013456988605,46.669564799999996
938,filtered,1984,True,343,1.8030845481049562,1.6452857142857145,0.6043220376438121,53.43477119999999
938,filtered,1985,False,323,1.414080495356037,0.8719380804953559,0.6613502976902643,39.46302719999999
938,filtered,1986,True,346,1.398679190751445,1.5088063583815026,0.8301519876856454,41.812675199999994
938,filtered,1987,True,349,1.3678280802292264,1.0494011461318054,1.0255843103397275,41.2449408
938,filtered,1988,True,335,1.603131343283582,1.1496835820895526,0.7783725085834499,46.4010336
938,filtered,1989,False,322,1.438478260869565,0.9404503105590063,0.849018899972038,40.01961599999999
938,filtered,1990,False,322,1.2516273291925466,0.6962453416149067,1.0543881501120078,34.821273600000005
938,filtered,1991,True,344,1.3699738372093022,1.062616279069767,1.0598692166629242,40.7178144
938,filtered,1992,True,339,1.412480825958702,0.4187846607669615,1.2321211470922315,41.3709984
938,filtered,1993,True,341,3.0416041055718472,2.2060557184750738,0.4363884847310997,89.61295679999999
938,filtered,1994,True,337,1.9473827893175075,2.152919881305638,0.3784085747807653,56.7015552
938,filtered,1995,True,348,1.4894425287356323,1.3787902298850576,0.7876467099137007,44.7833664
938,filtered,1996,True,340,1.5184882352941176,0.46381176470588253,0.960804919320883,44.607110399999996
938,filtered,1997,True,350,1.48558,1.8673400000000004,0.40096066245663453,44.92393919999999
938,filtered,1998,True,356,1.2835786516853933,1.2706797752808994,0.9441259389512369,39.4808256
938,filtered,1999,True,358,1.4150642458100557,0.848019553072626,1.1152953627604312,43.769635199999996
938,filtered,2000,True,356,1.1770702247191012,1.427502808988764,0.5606348269934793,36.204796800000004
938,filtered,2001,True,355,1.657974647887324,1.2106901408450703,0.8596992692135927,50.853398399999996
938,filtered,2002,True,350,1.1036599999999999,1.1675200000000003,1.311065679787995,33.37467839999999
938,filtered,2003,True,360,1.0612777777777778,0.855536111111111,1.251805539041003,33.009984
938,filtered,2004,True,360,0.9065416666666667,0.9331083333333331,1.1948011238764193,28.197072
938,filtered,2005,True,338,1.1181272189349114,0.5121420118343195,1.1823732120402566,32.652892800000004
938,filtered,2006,False,324,1.319567901234568,0.9721419753086423,1.394010671804872,36.939456
938,filtered,2007,True,341,2.494565982404692,1.8530469208211144,0.6313351102239988,73.4959008
938,filtered,2008,False,322,3.7967422360248446,2.3254037267080743,0.8642120887849476,105.62840639999999
938,filtered,2009,True,362,1.4597486187845305,1.6463895027624307,0.21953095795269875,45.65626560000001
938,filtered,2010,True,354,1.795898305084746,1.6112937853107345,0.3404028004833387,54.9286272
938,filtered,2011,True,359,1.4585403899721447,1.6608412256267415,0.3459746909799385,45.2404224
938,filtered,2012,True,357,1.0722605042016806,1.4621316526610648,0.5759602646617865,33.0736608
938,filtered,2013,True,358,1.105986033519553,1.0184441340782118,1.0530055756683316,34.20947519999999
938,filtered,2014,True,363,1.957840220385675,1.5491294765840222,0.3255808157493171,61.404134400000004
938,filtered,2015,True,363,2.0956749311294764,1.9474710743801653,0.16306533567467402,65.727072
938,filtered,2016,True,359,2.4540111420612813,2.6572674094707525,0.18005335649703505,76.117536
938,filtered,2017,True,363,1.439479338842975,1.6203966942148762,0.42376199561683486,45.1466784
938,filtered,2018,True,351,1.1910256410256408,0.5901965811965811,0.9308053250753299,36.119519999999994
938,filtered,2019,False,92,1.3789565217391304,1.1989673913043482,0.42427718231981876,10.961049599999999
938,linear_limit7,1980,True,366,2.5128674863387976,2.1962076502732244,0.8375479797953131,79.4629008
938,linear_limit7,1981,True,365,1.6402301369863013,0.5243013698630135,1.0764572465051563,51.726297599999995
938,linear_limit7,1982,True,365,1.5919589041095892,1.4734383561643833,0.26385217370810465,50.20401600000001
938,linear_limit7,1983,True,365,1.6789287671232875,1.6934219178082197,0.20201510905943856,52.94669759999999
938,linear_limit7,1984,True,366,1.8033633879781419,1.6572295081967217,0.6047548709611299,57.0266784
938,linear_limit7,1985,True,365,1.3897712328767122,1.1009260273972603,0.6218549442255822,43.8278256
938,linear_limit7,1986,True,365,1.3969616438356163,1.5089260273972598,0.8187431896547698,44.0545824
